text,label
"Офіційні джерела підтвердили запуск супутника сьогодні.",0
"NASA визнала, що Земля пласка і це приховували.",1
"Мерія опублікувала графік перекриття доріг на вихідні.",0
"Вчені довели, що 5G чипує населення через вакцини.",1
"Нацбанк оголосив про підвищення облікової ставки.",0
"Від яблук виростають роги — нове дослідження у Facebook.",1
"МОН оголосило нові правила ЗНО, деталі на сайті.",0
"Хіміки показали, що вода пам’ятає образи та думки.",1
"Єврокомісія погодила пакет допомоги для енергетики України.",0
"Вчений з TikTok стверджує, що час — це змова банкірів.",1
